lat,lon,anomaly
-88.58638743455498,1.875,2.1177158
-88.58638743455498,6.875,2.1054907
-88.58638743455498,11.875,2.0930128
-88.58638743455498,16.875,2.0794306
-88.58638743455498,21.875,2.0658684
-88.58638743455498,26.875,2.0540876
-88.58638743455498,31.875,2.0436144
-88.58638743455498,36.875,2.0344925
-88.58638743455498,41.875,2.0274944
-88.58638743455498,46.875,2.0213013
-88.58638743455498,51.875,2.0160055
-88.58638743455498,56.875,2.0126228
-88.58638743455498,61.875,2.0114365
-88.58638743455498,66.875,2.0128431
-88.58638743455498,71.875,2.0162868
-88.58638743455498,76.875,2.0209856
-88.58638743455498,81.875,2.0264568
-88.58638743455498,86.875,2.0337954
-88.58638743455498,91.875,2.041462
-88.58638743455498,96.875,2.0501585
-88.58638743455498,101.875,2.058508
-88.58638743455498,106.875,2.067091
-88.58638743455498,111.875,2.0758667
-88.58638743455498,116.875,2.0853834
-88.58638743455498,121.875,2.0922537
-88.58638743455498,126.875,2.0961666
-88.58638743455498,131.875,2.0958576
-88.58638743455498,136.875,2.0929327
-88.58638743455498,141.875,2.0856857
-88.58638743455498,146.875,2.0753956
-88.58638743455498,151.875,2.0647554
-88.58638743455498,156.875,2.0561152
-88.58638743455498,161.875,2.0455961
-88.58638743455498,166.875,2.035308
-88.58638743455498,171.875,2.0277805
-88.58638743455498,176.875,2.022441
-88.58638743455498,181.875,2.0190067
-88.58638743455498,186.875,2.0179482
-88.58638743455498,191.875,2.0229044
-88.58638743455498,196.875,2.0313358
-88.58638743455498,201.875,2.0405855
-88.58638743455498,206.875,2.050746
-88.58638743455498,211.875,2.060604
-88.58638743455498,216.875,2.06913
-88.58638743455498,221.875,2.077981
-88.58638743455498,226.875,2.0890064
-88.58638743455498,231.875,2.1028566
-88.58638743455498,236.875,2.1173992
-88.58638743455498,241.875,2.132742
-88.58638743455498,246.875,2.14845
-88.58638743455498,251.875,2.1629057
-88.58638743455498,256.875,2.175106
-88.58638743455498,261.875,2.1838818
-88.58638743455498,266.875,2.1915417
-88.58638743455498,271.875,2.1985846
-88.58638743455498,276.875,2.1995401
-88.58638743455498,281.875,2.1986542
-88.58638743455498,286.875,2.2011013
-88.58638743455498,291.875,2.2102938
-88.58638743455498,296.875,2.219184
-88.58638743455498,301.875,2.2186508
-88.58638743455498,306.875,2.2172031
-88.58638743455498,311.875,2.2145357
-88.58638743455498,316.875,2.2101326
-88.58638743455498,321.875,2.2038136
-88.58638743455498,326.875,2.1958256
-88.58638743455498,331.875,2.185752
-88.58638743455498,336.875,2.1746063
-88.58638743455498,341.875,2.16368
-88.58638743455498,346.875,2.1531725
-88.58638743455498,351.875,2.142375
-88.58638743455498,356.875,2.130065
-84.81675392670157,1.875,2.2236786
-84.81675392670157,6.875,2.1844015
-84.81675392670157,11.875,2.134673
-84.81675392670157,16.875,2.0801554
-84.81675392670157,21.875,2.023303
-84.81675392670157,26.875,1.9722805
-84.81675392670157,31.875,1.92906
-84.81675392670157,36.875,1.8947926
-84.81675392670157,41.875,1.8716555
-84.81675392670157,46.875,1.8499031
-84.81675392670157,51.875,1.8286638
-84.81675392670157,56.875,1.8054552
-84.81675392670157,61.875,1.7787294
-84.81675392670157,66.875,1.7558374
-84.81675392670157,71.875,1.7424002
-84.81675392670157,76.875,1.7386656
-84.81675392670157,81.875,1.7463293
-84.81675392670157,86.875,1.763463
-84.81675392670157,91.875,1.7855692
-84.81675392670157,96.875,1.8144989
-84.81675392670157,101.875,1.8503675
-84.81675392670157,106.875,1.8881378
-84.81675392670157,111.875,1.9325924
-84.81675392670157,116.875,1.9795599
-84.81675392670157,121.875,2.0169353
-84.81675392670157,126.875,2.0294943
-84.81675392670157,131.875,2.0145617
